,CPF_CNPJ,Volume_Saida,Tamanho_Componente,Com_InFlow,Com_Out_Flow,Sem_InFlow,Sem_OutFlow
0,84621101000170,106.9112,124024,85534.4963,212857.9825999959,85534.4963,212829.9825999959
1,21322606000113,158.387,124024,85534.4963,212857.9825999959,84881.41579999999,212829.9825999959
2,11978421000108,135.104,124024,85534.4963,212857.9825999959,84746.3118,212829.9825999959
3,8251412000106,487.2506,124024,85534.4963,212857.9825999959,84349.1331,212805.46209999584
4,9525413000164,281.7574,124024,85534.4963,212857.9825999959,84269.92310000001,212714.9215999958
5,3591489000101,106.9289,124024,85534.4963,212857.9825999959,84269.92310000001,212613.73959999584
6,12429880000103,216.69310000000002,124024,85534.4963,212857.9825999959,83766.82550000004,212613.73959999584
7,10467302000128,234.8188,124024,85534.4963,212857.9825999959,83244.88030000003,212582.12499999584
8,34478149000100,202.6709,124024,85534.4963,212857.9825999959,83125.49630000004,212431.81709999585
9,25385007000108,155.6914,124024,85534.4963,212857.9825999959,83023.62830000004,212283.42899999584
10,13217779000143,452.0204,124024,85534.4963,212857.9825999959,83023.62830000004,212283.42899999584
11,13291458000199,211.904,124024,85534.4963,212857.9825999959,82823.27690000003,212186.14199999583
12,7772404000142,219.8899,124024,85534.4963,212857.9825999959,82534.11590000002,212111.0919999958
13,15761533000163,630.2455,124024,85534.4963,212857.9825999959,81765.0914,212111.0919999958
14,15167766000132,428.37850000000003,124024,85534.4963,212857.9825999959,81208.43440000003,212019.7169999958
15,13602691000145,342.78999999999996,124024,85534.4963,212857.9825999959,80867.48130000001,211788.0054999958
16,84587104000134,270.5584,124024,85534.4963,212857.9825999959,80574.42800000003,211599.62229999583
17,15858889000110,439.51239999999996,124024,85534.4963,212857.9825999959,79070.32290000004,211355.21079999593
18,19019524000152,231.7779,124024,85534.4963,212857.9825999959,78827.81450000004,211355.21079999593
19,16777456000100,158.03099999999998,124024,85534.4963,212857.9825999959,78784.53340000003,211355.21079999593
20,3087580000194,337.2226,124024,85534.4963,212857.9825999959,78776.99940000003,211202.44449999597
21,11541983000190,1815.7532999999999,124024,85534.4963,212857.9825999959,78776.99940000003,211200.64249999597
22,19276854000123,669.316,124024,85534.4963,212857.9825999959,77521.04620000004,211200.64249999597
23,9168412000100,341.4644,124024,85534.4963,212857.9825999959,77137.68470000006,211200.64249999597
24,2406936000142,240.7919,124024,85534.4963,212857.9825999959,77137.68470000006,211051.160999996
25,84639632000190,133.841,124024,85534.4963,212857.9825999959,77038.36670000006,211051.160999996
26,8704191000184,355.20980000000003,124024,85534.4963,212857.9825999959,76974.66470000005,210941.03999999602
27,18335264000161,211.614,124024,85534.4963,212857.9825999959,76862.16070000005,210941.03999999602
28,8809967000120,130.6653,124024,85534.4963,212857.9825999959,76727.19530000005,210941.03999999602
29,14517489000188,422.9213,124024,85534.4963,212857.9825999959,76677.19530000006,210941.03999999602
30,17243025000119,190.6008,124024,85534.4963,212857.9825999959,76592.51330000004,210932.34639999602
31,13820935000166,144.5036,124024,85534.4963,212857.9825999959,76447.51280000004,210899.03639999602
32,4193033000156,108.8067,124024,85534.4963,212857.9825999959,76338.56210000002,210899.03639999602
33,19678293000199,407.3676,124024,85534.4963,212857.9825999959,76338.56210000002,210844.31039999603
34,14669286000107,345.53,124024,85534.4963,212857.9825999959,76338.56210000002,210844.31039999603
35,11626387000102,164.2246,124024,85534.4963,212857.9825999959,76174.33750000002,210844.31039999603
36,10735411000189,539.109,124024,85534.4963,212857.9825999959,75481.42050000001,210844.31039999603
37,25362561000161,470.654,124024,85534.4963,212857.9825999959,75481.42050000001,210709.57939999597
38,9581351000108,218.12199999999999,124024,85534.4963,212857.9825999959,75177.29849999998,210709.57939999597
39,12763754000182,320.9,124024,85534.4963,212857.9825999959,74856.39849999998,210709.57939999597
40,10957111000144,108.6686,124024,85534.4963,212857.9825999959,74751.89849999998,210657.12179999595
41,20267013000139,601.5513,124024,85534.4963,212857.9825999959,73671.4381,210657.12179999595
42,22675594000173,256.795,124024,85534.4963,212857.9825999959,73354.0801,210568.98779999593
43,7669847000102,321.9681,124024,85534.4963,212857.9825999959,72711.19499999999,210565.98779999593
44,15715911000172,195.6937,124024,85534.4963,212857.9825999959,72438.46899999998,210509.37879999587
45,7186624000194,408.59360000000004,124024,85534.4963,212857.9825999959,71716.23819999995,210364.0734999958
46,7984169000172,346.16,124024,85534.4963,212857.9825999959,71368.81820000001,210364.0734999958
47,16716007000144,207.8478,124024,85534.4963,212857.9825999959,71045.79410000001,210364.0734999958
48,84646793000100,477.443,124024,85534.4963,212857.9825999959,70684.56910000002,210249.1634999958
49,8978287000130,159.80870000000002,124024,85534.4963,212857.9825999959,70682.39040000002,210193.10359999578
50,1699020000165,140.8448,124024,85534.4963,212857.9825999959,70648.3074,209877.53479999586
51,24262406000100,568.8865,124024,85534.4963,212857.9825999959,70579.37800000001,209779.73209999583
52,10803249000199,352.7975,124024,85534.4963,212857.9825999959,70489.48700000002,209645.62209999582
53,9508457000186,208.4939,124024,85534.4963,212857.9825999959,70451.28700000003,209645.62209999582
54,5561745000143,302.8901,124024,85534.4963,212857.9825999959,69926.66210000002,209433.39539999582
55,14743232000144,176.8051,124024,85534.4963,212857.9825999959,69723.32710000001,209428.0016999958
56,8751555000187,381.8486,124024,85534.4963,212857.9825999959,69487.0721,209383.81349999577
57,23807883000141,233.5067,124024,85534.4963,212857.9825999959,69487.0721,209292.08249999577
58,7909776000330,164.8431,124024,85534.4963,212857.9825999959,68626.87680000003,209116.50699999576
59,9381862000186,139.1366,124024,85534.4963,212857.9825999959,68348.27110000004,208979.67069999556
60,2069459000177,239.18040000000002,124024,85534.4963,212857.9825999959,67807.11910000001,208848.93069999557
61,63793426000160,152.0109,124024,85534.4963,212857.9825999959,67626.94810000002,208848.93069999557
62,18467473000169,116.93299999999999,124024,85534.4963,212857.9825999959,67502.78610000001,208848.93069999557
63,3691701000102,236.329,124024,85534.4963,212857.9825999959,67146.4551,208848.93069999557
64,9595625000118,632.2040000000001,124024,85534.4963,212857.9825999959,66071.68820000003,208848.93069999557
